DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
16/10/2023,2429.35,2464.7,2421.85,2454.55,2447.48,42165,2454.55
17/10/2023,2428.4,2462.0,2423.5,2429.35,2441.19,39591,2459.95
18/10/2023,2406.35,2441.75,2401.05,2428.4,2417.18,40653,2440.0
19/10/2023,2402.2,2414.7,2382.55,2406.35,2399.0,67638,2400.0
20/10/2023,2393.75,2443.95,2382.05,2402.2,2403.46,56041,2398.05
23/10/2023,2308.65,2412.35,2301.8,2393.75,2339.84,81837,2397.8
25/10/2023,2257.0,2348.05,2235.3,2308.65,2287.32,79580,2320.0
26/10/2023,2203.2,2249.0,2167.05,2257.0,2202.63,128777,2249.0
27/10/2023,2261.7,2275.0,2212.0,2203.2,2246.49,63625,2222.0
30/10/2023,2299.1,2305.0,2250.0,2261.7,2286.43,53630,2260.05
31/10/2023,2294.65,2320.0,2276.0,2299.1,2294.76,52388,2320.0
01/11/2023,2217.3,2312.25,2207.0,2294.65,2253.36,79883,2299.0
02/11/2023,2215.3,2297.95,2204.2,2217.3,2247.07,127122,2247.0
03/11/2023,2229.85,2279.0,2215.0,2215.3,2244.27,82880,2215.3
06/11/2023,2246.0,2260.0,2233.0,2229.85,2244.88,43846,2253.95
07/11/2023,2233.35,2260.0,2226.65,2246.0,2240.69,33475,2257.0
08/11/2023,2259.95,2298.0,2235.0,2233.35,2263.84,58323,2245.3
09/11/2023,2214.65,2272.6,2210.1,2259.95,2231.38,63026,2269.0
10/11/2023,2205.1,2237.0,2198.5,2214.65,2214.55,45963,2220.25
12/11/2023,2211.35,2226.0,2205.1,2205.1,2215.9,9273,2219.7
13/11/2023,2213.65,2241.9,2195.55,2211.35,2212.76,42537,2215.5
15/11/2023,2225.4,2250.0,2220.5,2213.65,2228.39,33170,2240.0
16/11/2023,2205.9,2232.8,2196.1,2225.4,2211.42,73917,2226.0
17/11/2023,2208.8,2237.95,2201.0,2205.9,2216.32,43810,2205.9
20/11/2023,2149.85,2218.5,2142.0,2208.8,2173.7,78926,2211.0
21/11/2023,2196.65,2232.55,2158.35,2149.85,2207.07,90480,2160.0
22/11/2023,2172.65,2225.0,2153.5,2196.65,2175.45,58112,2205.15
23/11/2023,2175.25,2190.0,2160.6,2172.65,2176.85,38958,2190.0
24/11/2023,2225.45,2251.95,2160.9,2175.25,2206.04,91515,2179.0
28/11/2023,2423.5,2512.4,2275.0,2225.45,2416.12,429582,2301.0
29/11/2023,2396.6,2477.65,2390.0,2423.5,2429.99,176974,2468.7
30/11/2023,2358.55,2409.0,2343.05,2396.6,2361.69,128913,2400.05
01/12/2023,2362.7,2403.35,2354.1,2358.55,2372.38,79854,2370.0
04/12/2023,2531.2,2595.0,2487.45,2362.7,2529.8,226984,2549.95
05/12/2023,2959.35,2999.9,2531.2,2531.2,2804.15,753504,2531.2
06/12/2023,2883.95,3154.55,2844.85,2959.35,2987.51,780601,3080.0
07/12/2023,2887.15,2945.9,2853.05,2883.95,2898.6,265235,2900.0
08/12/2023,2822.15,2927.0,2760.0,2887.15,2839.19,289285,2902.7
11/12/2023,2855.8,2919.9,2811.05,2822.15,2867.92,202891,2837.05
12/12/2023,2857.65,2895.95,2840.55,2855.8,2864.57,91033,2869.1
13/12/2023,2875.05,2899.1,2805.0,2857.65,2854.75,118936,2860.0
14/12/2023,2894.05,2932.95,2887.0,2875.05,2908.68,140194,2900.95
15/12/2023,2991.8,3000.0,2893.9,2894.05,2962.62,180486,2912.05
18/12/2023,2980.6,3027.75,2961.1,2991.8,2993.07,100133,2993.95
19/12/2023,2941.25,2994.35,2915.0,2980.6,2950.36,81742,2988.8
20/12/2023,2783.85,2968.0,2766.2,2941.25,2870.07,171337,2946.0
21/12/2023,2799.75,2821.95,2725.0,2783.85,2788.43,139231,2750.0
22/12/2023,2808.35,2847.6,2791.4,2799.75,2819.62,76777,2815.95
26/12/2023,2865.45,2893.75,2800.1,2808.35,2859.55,124764,2817.0
27/12/2023,2843.35,2894.8,2833.6,2865.45,2854.23,96864,2880.7
28/12/2023,2809.9,2867.35,2800.1,2843.35,2818.51,108070,2855.0
29/12/2023,2848.95,2863.3,2802.85,2809.9,2838.38,65085,2823.9
01/01/2024,2917.2,2947.0,2842.05,2848.95,2914.54,116403,2852.3
